UNIVERSITAS,KODE,PROGRAM STUDI,JENJANG,DAYA TAMPUNG 2024,PEMINAT 2023,JENIS PORTOFOLIO
UNIVERSITAS MALIKUSSALEH,112019,TEKNIK LOGISTIK,Sarjana,40,46,Tidak Ada
UNIVERSITAS MALIKUSSALEH,112020,MANAJEMEN,Sarjana,132,490,Tidak Ada
UNIVERSITAS MALIKUSSALEH,112021,AKUNTANSI,Sarjana,112,277,Tidak Ada
UNIVERSITAS MALIKUSSALEH,112022,ILMU EKONOMI & STUDI PEMBANGUNAN,Sarjana,112,118,Tidak Ada
UNIVERSITAS MALIKUSSALEH,112023,ADMINISTRASI PUBLIK,Sarjana,128,248,Tidak Ada
UNIVERSITAS MALIKUSSALEH,112024,SOSIOLOGI,Sarjana,64,76,Tidak Ada
UNIVERSITAS MALIKUSSALEH,112025,ILMU POLITIK,Sarjana,80,73,Tidak Ada
UNIVERSITAS MALIKUSSALEH,112026,ANTROPOLOGI,Sarjana,64,51,Tidak Ada
UNIVERSITAS MALIKUSSALEH,112027,ILMU KOMUNIKASI,Sarjana,128,321,Tidak Ada
UNIVERSITAS MALIKUSSALEH,112028,HUKUM,Sarjana,180,405,Tidak Ada
UNIVERSITAS MALIKUSSALEH,112029,EKONOMI SYARIAH,Sarjana,64,151,Tidak Ada
UNIVERSITAS MALIKUSSALEH,112030,PSIKOLOGI,Sarjana,60,422,Tidak Ada
UNIVERSITAS MALIKUSSALEH,112031,PENDIDIKAN BAHASA INDONESIA,Sarjana,40,174,Tidak Ada
UNIVERSITAS MALIKUSSALEH,112032,ADMINISTRASI BISNIS,Sarjana,48,146,Tidak Ada
UNIVERSITAS MALIKUSSALEH,112033,KEWIRUSAHAAN,Sarjana,40,59,Tidak Ada
UNIVERSITAS MALIKUSSALEH,112034,KEPERAWATAN,Diploma Tiga,16,89,Tidak Ada
UNIVERSITAS,KODE,PROGRAM STUDI,JENJANG,DAYA TAMPUNG 2024,PEMINAT 2023,JENIS PORTOFOLIO
UNIVERSITAS TEUKU UMAR,113001,TEKNIK SIPIL,Sarjana,75,108,Tidak Ada
UNIVERSITAS TEUKU UMAR,113002,TEKNIK MESIN,Sarjana,80,91,Tidak Ada
UNIVERSITAS TEUKU UMAR,113003,TEKNIK INDUSTRI,Sarjana,60,121,Tidak Ada
UNIVERSITAS TEUKU UMAR,113004,AGRIBISNIS,Sarjana,60,90,Tidak Ada
UNIVERSITAS TEUKU UMAR,113005,AGROTEKNOLOGI,Sarjana,50,76,Tidak Ada
UNIVERSITAS TEUKU UMAR,113006,PERIKANAN,Sarjana,30,34,Tidak Ada
UNIVERSITAS TEUKU UMAR,113007,KESEHATAN MASYARAKAT,Sarjana,90,360,Tidak Ada
UNIVERSITAS TEUKU UMAR,113008,AKUAKULTUR,Sarjana,20,16,Tidak Ada
UNIVERSITAS TEUKU UMAR,113009,SUMBER DAYA AKUATIK,Sarjana,20,5,Tidak Ada
UNIVERSITAS TEUKU UMAR,113010,TEKNOLOGI HASIL PERTANIAN,Sarjana,60,64,Tidak Ada
UNIVERSITAS TEUKU UMAR,113011,ILMU KELAUTAN,Sarjana,20,19,Tidak Ada
UNIVERSITAS TEUKU UMAR,113012,TEKNOLOGI INFORMASI,Sarjana,60,179,Tidak Ada
UNIVERSITAS TEUKU UMAR,113013,GIZI,Sarjana,90,359,Tidak Ada
UNIVERSITAS TEUKU UMAR,113014,EKONOMI PEMBANGUNAN,Sarjana,35,47,Tidak Ada
UNIVERSITAS TEUKU UMAR,113015,ILMU ADMINISTRASI NEGARA,Sarjana,100,158,Tidak Ada
